Date,Country,Latitude,Longitude,Currency,Rate
1/24/20,Australia,-25.274398,133.775136,AUD,1.47
1/25/20,Australia,-25.274398,133.775136,AUD,1.47
1/26/20,Australia,-25.274398,133.775136,AUD,1.47
1/27/20,Australia,-25.274398,133.775136,AUD,1.48
1/28/20,Australia,-25.274398,133.775136,AUD,1.48
1/29/20,Australia,-25.274398,133.775136,AUD,1.48
1/30/20,Australia,-25.274398,133.775136,AUD,1.49
1/31/20,Australia,-25.274398,133.775136,AUD,1.49
2/1/20,Australia,-25.274398,133.775136,AUD,1.49
2/2/20,Australia,-25.274398,133.775136,AUD,1.49
2/3/20,Australia,-25.274398,133.775136,AUD,1.49
2/4/20,Australia,-25.274398,133.775136,AUD,1.49
2/5/20,Australia,-25.274398,133.775136,AUD,1.48
2/6/20,Australia,-25.274398,133.775136,AUD,1.49
2/7/20,Australia,-25.274398,133.775136,AUD,1.50
2/8/20,Australia,-25.274398,133.775136,AUD,1.50
2/9/20,Australia,-25.274398,133.775136,AUD,1.50
2/10/20,Australia,-25.274398,133.775136,AUD,1.49
2/11/20,Australia,-25.274398,133.775136,AUD,1.49
2/12/20,Australia,-25.274398,133.775136,AUD,1.49
2/13/20,Australia,-25.274398,133.775136,AUD,1.49
2/14/20,Australia,-25.274398,133.775136,AUD,1.49
2/15/20,Australia,-25.274398,133.775136,AUD,1.49
2/16/20,Australia,-25.274398,133.775136,AUD,1.49
2/17/20,Australia,-25.274398,133.775136,AUD,1.49
2/18/20,Australia,-25.274398,133.775136,AUD,1.49
2/19/20,Australia,-25.274398,133.775136,AUD,1.50
2/20/20,Australia,-25.274398,133.775136,AUD,1.51
2/21/20,Australia,-25.274398,133.775136,AUD,1.51
2/22/20,Australia,-25.274398,133.775136,AUD,1.51
2/23/20,Australia,-25.274398,133.775136,AUD,1.51
2/24/20,Australia,-25.274398,133.775136,AUD,1.51
2/25/20,Australia,-25.274398,133.775136,AUD,1.51
2/26/20,Australia,-25.274398,133.775136,AUD,1.53
2/27/20,Australia,-25.274398,133.775136,AUD,1.52
2/28/20,Australia,-25.274398,133.775136,AUD,1.53
2/29/20,Australia,-25.274398,133.775136,AUD,1.53
3/1/20,Australia,-25.274398,133.775136,AUD,1.53
3/2/20,Australia,-25.274398,133.775136,AUD,1.53
3/3/20,Australia,-25.274398,133.775136,AUD,1.52
3/4/20,Australia,-25.274398,133.775136,AUD,1.51
3/5/20,Australia,-25.274398,133.775136,AUD,1.51
3/6/20,Australia,-25.274398,133.775136,AUD,1.51
3/7/20,Australia,-25.274398,133.775136,AUD,1.50
3/8/20,Australia,-25.274398,133.775136,AUD,1.51
3/9/20,Australia,-25.274398,133.775136,AUD,1.52
3/10/20,Australia,-25.274398,133.775136,AUD,1.54
3/11/20,Australia,-25.274398,133.775136,AUD,1.54
3/12/20,Australia,-25.274398,133.775136,AUD,1.59
3/13/20,Australia,-25.274398,133.775136,AUD,1.62
3/14/20,Australia,-25.274398,133.775136,AUD,1.62
3/15/20,Australia,-25.274398,133.775136,AUD,1.62
3/16/20,Australia,-25.274398,133.775136,AUD,1.64
3/17/20,Australia,-25.274398,133.775136,AUD,1.67
3/18/20,Australia,-25.274398,133.775136,AUD,1.72
3/19/20,Australia,-25.274398,133.775136,AUD,1.74
3/20/20,Australia,-25.274398,133.775136,AUD,1.73
3/21/20,Australia,-25.274398,133.775136,AUD,1.73
3/22/20,Australia,-25.274398,133.775136,AUD,1.74
3/23/20,Australia,-25.274398,133.775136,AUD,1.70
3/24/20,Australia,-25.274398,133.775136,AUD,1.67
3/25/20,Australia,-25.274398,133.775136,AUD,1.69
3/26/20,Australia,-25.274398,133.775136,AUD,1.65
3/27/20,Australia,-25.274398,133.775136,AUD,1.62
3/28/20,Australia,-25.274398,133.775136,AUD,1.62
3/29/20,Australia,-25.274398,133.775136,AUD,1.62
3/30/20,Australia,-25.274398,133.775136,AUD,1.62
3/31/20,Australia,-25.274398,133.775136,AUD,1.63
4/1/20,Australia,-25.274398,133.775136,AUD,1.64
4/2/20,Australia,-25.274398,133.775136,AUD,1.65
4/3/20,Australia,-25.274398,133.775136,AUD,1.67
4/4/20,Australia,-25.274398,133.775136,AUD,1.67
4/5/20,Australia,-25.274398,133.775136,AUD,1.67
4/6/20,Australia,-25.274398,133.775136,AUD,1.63
4/7/20,Australia,-25.274398,133.775136,AUD,1.63
4/8/20,Australia,-25.274398,133.775136,AUD,1.60
4/9/20,Australia,-25.274398,133.775136,AUD,1.58
4/10/20,Australia,-25.274398,133.775136,AUD,1.57
4/11/20,Australia,-25.274398,133.775136,AUD,1.57
4/12/20,Australia,-25.274398,133.775136,AUD,1.58
4/13/20,Australia,-25.274398,133.775136,AUD,1.56
4/14/20,Australia,-25.274398,133.775136,AUD,1.55
4/15/20,Australia,-25.274398,133.775136,AUD,1.59
4/16/20,Australia,-25.274398,133.775136,AUD,1.57
4/17/20,Australia,-25.274398,133.775136,AUD,1.57
4/18/20,Australia,-25.274398,133.775136,AUD,1.57
4/19/20,Australia,-25.274398,133.775136,AUD,1.58
4/20/20,Australia,-25.274398,133.775136,AUD,1.58
4/21/20,Australia,-25.274398,133.775136,AUD,1.59
4/22/20,Australia,-25.274398,133.775136,AUD,1.59
4/23/20,Australia,-25.274398,133.775136,AUD,1.57
4/24/20,Australia,-25.274398,133.775136,AUD,1.56
4/25/20,Australia,-25.274398,133.775136,AUD,1.57
4/26/20,Australia,-25.274398,133.775136,AUD,1.57
11/1/19,New Zealand,-40.900557,174.885971,NZD,1.55
11/4/19,New Zealand,-40.900557,174.885971,NZD,1.56
11/5/19,New Zealand,-40.900557,174.885971,NZD,1.57
11/6/19,New Zealand,-40.900557,174.885971,NZD,1.57
11/7/19,New Zealand,-40.900557,174.885971,NZD,1.57
11/8/19,New Zealand,-40.900557,174.885971,NZD,1.58
11/12/19,New Zealand,-40.900557,174.885971,NZD,1.58
11/13/19,New Zealand,-40.900557,174.885971,NZD,1.56
11/14/19,New Zealand,-40.900557,174.885971,NZD,1.57
11/15/19,New Zealand,-40.900557,174.885971,NZD,1.56
11/18/19,New Zealand,-40.900557,174.885971,NZD,1.56
11/19/19,New Zealand,-40.900557,174.885971,NZD,1.56
11/20/19,New Zealand,-40.900557,174.885971,NZD,1.56
11/21/19,New Zealand,-40.900557,174.885971,NZD,1.56
11/22/19,New Zealand,-40.900557,174.885971,NZD,1.56
11/25/19,New Zealand,-40.900557,174.885971,NZD,1.56
11/26/19,New Zealand,-40.900557,174.885971,NZD,1.56
11/27/19,New Zealand,-40.900557,174.885971,NZD,1.56
11/29/19,New Zealand,-40.900557,174.885971,NZD,1.56
12/2/19,New Zealand,-40.900557,174.885971,NZD,1.54
12/3/19,New Zealand,-40.900557,174.885971,NZD,1.53
12/4/19,New Zealand,-40.900557,174.885971,NZD,1.53
12/5/19,New Zealand,-40.900557,174.885971,NZD,1.53
12/6/19,New Zealand,-40.900557,174.885971,NZD,1.52
12/9/19,New Zealand,-40.900557,174.885971,NZD,1.53
12/10/19,New Zealand,-40.900557,174.885971,NZD,1.53
12/11/19,New Zealand,-40.900557,174.885971,NZD,1.52
12/12/19,New Zealand,-40.900557,174.885971,NZD,1.52
12/13/19,New Zealand,-40.900557,174.885971,NZD,1.52
12/16/19,New Zealand,-40.900557,174.885971,NZD,1.52
12/17/19,New Zealand,-40.900557,174.885971,NZD,1.52
12/18/19,New Zealand,-40.900557,174.885971,NZD,1.52
12/19/19,New Zealand,-40.900557,174.885971,NZD,1.51
12/20/19,New Zealand,-40.900557,174.885971,NZD,1.51
12/23/19,New Zealand,-40.900557,174.885971,NZD,1.51
12/24/19,New Zealand,-40.900557,174.885971,NZD,1.51
12/26/19,New Zealand,-40.900557,174.885971,NZD,1.50
12/27/19,New Zealand,-40.900557,174.885971,NZD,1.49
12/30/19,New Zealand,-40.900557,174.885971,NZD,1.48
12/31/19,New Zealand,-40.900557,174.885971,NZD,1.48
1/1/20,New Zealand,-40.900557,174.885971,NZD,1.48
1/2/20,New Zealand,-40.900557,174.885971,NZD,1.49
1/3/20,New Zealand,-40.900557,174.885971,NZD,1.50
1/4/20,New Zealand,-40.900557,174.885971,NZD,1.50
1/5/20,New Zealand,-40.900557,174.885971,NZD,1.50
1/6/20,New Zealand,-40.900557,174.885971,NZD,1.50
1/7/20,New Zealand,-40.900557,174.885971,NZD,1.51
1/8/20,New Zealand,-40.900557,174.885971,NZD,1.50
1/9/20,New Zealand,-40.900557,174.885971,NZD,1.51
1/10/20,New Zealand,-40.900557,174.885971,NZD,1.51
1/11/20,New Zealand,-40.900557,174.885971,NZD,1.51
1/12/20,New Zealand,-40.900557,174.885971,NZD,1.51
1/13/20,New Zealand,-40.900557,174.885971,NZD,1.51
1/14/20,New Zealand,-40.900557,174.885971,NZD,1.51
1/15/20,New Zealand,-40.900557,174.885971,NZD,1.51
1/16/20,New Zealand,-40.900557,174.885971,NZD,1.51
1/17/20,New Zealand,-40.900557,174.885971,NZD,1.51
1/18/20,New Zealand,-40.900557,174.885971,NZD,1.51
1/19/20,New Zealand,-40.900557,174.885971,NZD,1.51
1/20/20,New Zealand,-40.900557,174.885971,NZD,1.51
1/21/20,New Zealand,-40.900557,174.885971,NZD,1.52
1/22/20,New Zealand,-40.900557,174.885971,NZD,1.52
1/23/20,New Zealand,-40.900557,174.885971,NZD,1.51
1/24/20,New Zealand,-40.900557,174.885971,NZD,1.51
1/25/20,New Zealand,-40.900557,174.885971,NZD,1.51
1/26/20,New Zealand,-40.900557,174.885971,NZD,1.52
1/27/20,New Zealand,-40.900557,174.885971,NZD,1.53
1/28/20,New Zealand,-40.900557,174.885971,NZD,1.53
1/29/20,New Zealand,-40.900557,174.885971,NZD,1.53
1/30/20,New Zealand,-40.900557,174.885971,NZD,1.54
1/31/20,New Zealand,-40.900557,174.885971,NZD,1.55
2/1/20,New Zealand,-40.900557,174.885971,NZD,1.55
2/2/20,New Zealand,-40.900557,174.885971,NZD,1.55
2/3/20,New Zealand,-40.900557,174.885971,NZD,1.55
2/4/20,New Zealand,-40.900557,174.885971,NZD,1.54
2/5/20,New Zealand,-40.900557,174.885971,NZD,1.54
2/6/20,New Zealand,-40.900557,174.885971,NZD,1.55
2/7/20,New Zealand,-40.900557,174.885971,NZD,1.56
2/8/20,New Zealand,-40.900557,174.885971,NZD,1.56
2/9/20,New Zealand,-40.900557,174.885971,NZD,1.56
2/10/20,New Zealand,-40.900557,174.885971,NZD,1.57
2/11/20,New Zealand,-40.900557,174.885971,NZD,1.56
2/12/20,New Zealand,-40.900557,174.885971,NZD,1.55
2/13/20,New Zealand,-40.900557,174.885971,NZD,1.55
2/14/20,New Zealand,-40.900557,174.885971,NZD,1.55
2/15/20,New Zealand,-40.900557,174.885971,NZD,1.55
2/16/20,New Zealand,-40.900557,174.885971,NZD,1.55
2/17/20,New Zealand,-40.900557,174.885971,NZD,1.55
2/18/20,New Zealand,-40.900557,174.885971,NZD,1.56
2/19/20,New Zealand,-40.900557,174.885971,NZD,1.57
2/20/20,New Zealand,-40.900557,174.885971,NZD,1.58
2/21/20,New Zealand,-40.900557,174.885971,NZD,1.58
2/22/20,New Zealand,-40.900557,174.885971,NZD,1.58
2/23/20,New Zealand,-40.900557,174.885971,NZD,1.58
2/24/20,New Zealand,-40.900557,174.885971,NZD,1.58
2/25/20,New Zealand,-40.900557,174.885971,NZD,1.58
2/26/20,New Zealand,-40.900557,174.885971,NZD,1.59
2/27/20,New Zealand,-40.900557,174.885971,NZD,1.58
2/28/20,New Zealand,-40.900557,174.885971,NZD,1.60
2/29/20,New Zealand,-40.900557,174.885971,NZD,1.60
3/1/20,New Zealand,-40.900557,174.885971,NZD,1.61
3/2/20,New Zealand,-40.900557,174.885971,NZD,1.60
3/3/20,New Zealand,-40.900557,174.885971,NZD,1.60
3/4/20,New Zealand,-40.900557,174.885971,NZD,1.59
3/5/20,New Zealand,-40.900557,174.885971,NZD,1.58
3/6/20,New Zealand,-40.900557,174.885971,NZD,1.57
3/7/20,New Zealand,-40.900557,174.885971,NZD,1.57
3/8/20,New Zealand,-40.900557,174.885971,NZD,1.58
3/9/20,New Zealand,-40.900557,174.885971,NZD,1.58
3/10/20,New Zealand,-40.900557,174.885971,NZD,1.60
3/11/20,New Zealand,-40.900557,174.885971,NZD,1.60
3/12/20,New Zealand,-40.900557,174.885971,NZD,1.64
3/13/20,New Zealand,-40.900557,174.885971,NZD,1.65
3/14/20,New Zealand,-40.900557,174.885971,NZD,1.65
3/15/20,New Zealand,-40.900557,174.885971,NZD,1.65
3/16/20,New Zealand,-40.900557,174.885971,NZD,1.65
3/17/20,New Zealand,-40.900557,174.885971,NZD,1.68
3/18/20,New Zealand,-40.900557,174.885971,NZD,1.75
3/19/20,New Zealand,-40.900557,174.885971,NZD,1.76
3/20/20,New Zealand,-40.900557,174.885971,NZD,1.76
3/21/20,New Zealand,-40.900557,174.885971,NZD,1.76
3/22/20,New Zealand,-40.900557,174.885971,NZD,1.78
3/23/20,New Zealand,-40.900557,174.885971,NZD,1.74
3/24/20,New Zealand,-40.900557,174.885971,NZD,1.72
3/25/20,New Zealand,-40.900557,174.885971,NZD,1.72
3/26/20,New Zealand,-40.900557,174.885971,NZD,1.67
3/27/20,New Zealand,-40.900557,174.885971,NZD,1.66
3/28/20,New Zealand,-40.900557,174.885971,NZD,1.66
3/29/20,New Zealand,-40.900557,174.885971,NZD,1.65
3/30/20,New Zealand,-40.900557,174.885971,NZD,1.66
3/31/20,New Zealand,-40.900557,174.885971,NZD,1.68
4/1/20,New Zealand,-40.900557,174.885971,NZD,1.68
4/2/20,New Zealand,-40.900557,174.885971,NZD,1.69
4/3/20,New Zealand,-40.900557,174.885971,NZD,1.70
4/4/20,New Zealand,-40.900557,174.885971,NZD,1.70
4/5/20,New Zealand,-40.900557,174.885971,NZD,1.71
4/6/20,New Zealand,-40.900557,174.885971,NZD,1.68
4/7/20,New Zealand,-40.900557,174.885971,NZD,1.68
4/8/20,New Zealand,-40.900557,174.885971,NZD,1.66
4/9/20,New Zealand,-40.900557,174.885971,NZD,1.65
4/10/20,New Zealand,-40.900557,174.885971,NZD,1.64
4/11/20,New Zealand,-40.900557,174.885971,NZD,1.64
4/12/20,New Zealand,-40.900557,174.885971,NZD,1.65
4/13/20,New Zealand,-40.900557,174.885971,NZD,1.64
4/14/20,New Zealand,-40.900557,174.885971,NZD,1.64
4/15/20,New Zealand,-40.900557,174.885971,NZD,1.67
4/16/20,New Zealand,-40.900557,174.885971,NZD,1.67
4/17/20,New Zealand,-40.900557,174.885971,NZD,1.66
4/18/20,New Zealand,-40.900557,174.885971,NZD,1.66
4/19/20,New Zealand,-40.900557,174.885971,NZD,1.66
4/20/20,New Zealand,-40.900557,174.885971,NZD,1.65
4/21/20,New Zealand,-40.900557,174.885971,NZD,1.68
4/22/20,New Zealand,-40.900557,174.885971,NZD,1.69
4/23/20,New Zealand,-40.900557,174.885971,NZD,1.67
4/24/20,New Zealand,-40.900557,174.885971,NZD,1.66
4/25/20,New Zealand,-40.900557,174.885971,NZD,1.66
4/26/20,New Zealand,-40.900557,174.885971,NZD,1.66
11/1/19,United Kingdom,55.378051,-3.435973,GBP,0.77
11/4/19,United Kingdom,55.378051,-3.435973,GBP,0.77
11/5/19,United Kingdom,55.378051,-3.435973,GBP,0.78
11/6/19,United Kingdom,55.378051,-3.435973,GBP,0.78
11/7/19,United Kingdom,55.378051,-3.435973,GBP,0.78
11/8/19,United Kingdom,55.378051,-3.435973,GBP,0.78
11/12/19,United Kingdom,55.378051,-3.435973,GBP,0.78
11/13/19,United Kingdom,55.378051,-3.435973,GBP,0.78
11/14/19,United Kingdom,55.378051,-3.435973,GBP,0.78
11/15/19,United Kingdom,55.378051,-3.435973,GBP,0.78
11/18/19,United Kingdom,55.378051,-3.435973,GBP,0.77
11/19/19,United Kingdom,55.378051,-3.435973,GBP,0.77
11/20/19,United Kingdom,55.378051,-3.435973,GBP,0.77
11/21/19,United Kingdom,55.378051,-3.435973,GBP,0.77
11/22/19,United Kingdom,55.378051,-3.435973,GBP,0.78
11/25/19,United Kingdom,55.378051,-3.435973,GBP,0.78
11/26/19,United Kingdom,55.378051,-3.435973,GBP,0.78
11/27/19,United Kingdom,55.378051,-3.435973,GBP,0.78
11/29/19,United Kingdom,55.378051,-3.435973,GBP,0.77
12/2/19,United Kingdom,55.378051,-3.435973,GBP,0.77
12/3/19,United Kingdom,55.378051,-3.435973,GBP,0.77
12/4/19,United Kingdom,55.378051,-3.435973,GBP,0.76
12/5/19,United Kingdom,55.378051,-3.435973,GBP,0.76
12/6/19,United Kingdom,55.378051,-3.435973,GBP,0.76
12/9/19,United Kingdom,55.378051,-3.435973,GBP,0.76
12/10/19,United Kingdom,55.378051,-3.435973,GBP,0.76
12/11/19,United Kingdom,55.378051,-3.435973,GBP,0.76
12/12/19,United Kingdom,55.378051,-3.435973,GBP,0.76
12/13/19,United Kingdom,55.378051,-3.435973,GBP,0.75
12/16/19,United Kingdom,55.378051,-3.435973,GBP,0.75
12/17/19,United Kingdom,55.378051,-3.435973,GBP,0.76
12/18/19,United Kingdom,55.378051,-3.435973,GBP,0.76
12/19/19,United Kingdom,55.378051,-3.435973,GBP,0.77
12/20/19,United Kingdom,55.378051,-3.435973,GBP,0.77
12/23/19,United Kingdom,55.378051,-3.435973,GBP,0.77
12/24/19,United Kingdom,55.378051,-3.435973,GBP,0.77
12/26/19,United Kingdom,55.378051,-3.435973,GBP,0.77
12/27/19,United Kingdom,55.378051,-3.435973,GBP,0.76
12/30/19,United Kingdom,55.378051,-3.435973,GBP,0.76
12/31/19,United Kingdom,55.378051,-3.435973,GBP,0.75
1/1/20,United Kingdom,55.378051,-3.435973,GBP,0.75
1/2/20,United Kingdom,55.378051,-3.435973,GBP,0.76
1/3/20,United Kingdom,55.378051,-3.435973,GBP,0.76
1/4/20,United Kingdom,55.378051,-3.435973,GBP,0.76
1/5/20,United Kingdom,55.378051,-3.435973,GBP,0.76
1/6/20,United Kingdom,55.378051,-3.435973,GBP,0.76
1/7/20,United Kingdom,55.378051,-3.435973,GBP,0.76
1/8/20,United Kingdom,55.378051,-3.435973,GBP,0.76
1/9/20,United Kingdom,55.378051,-3.435973,GBP,0.77
1/10/20,United Kingdom,55.378051,-3.435973,GBP,0.77
1/11/20,United Kingdom,55.378051,-3.435973,GBP,0.77
1/12/20,United Kingdom,55.378051,-3.435973,GBP,0.77
1/13/20,United Kingdom,55.378051,-3.435973,GBP,0.77
1/14/20,United Kingdom,55.378051,-3.435973,GBP,0.77
1/15/20,United Kingdom,55.378051,-3.435973,GBP,0.77
1/16/20,United Kingdom,55.378051,-3.435973,GBP,0.76
1/17/20,United Kingdom,55.378051,-3.435973,GBP,0.77
1/18/20,United Kingdom,55.378051,-3.435973,GBP,0.77
1/19/20,United Kingdom,55.378051,-3.435973,GBP,0.77
1/20/20,United Kingdom,55.378051,-3.435973,GBP,0.77
1/21/20,United Kingdom,55.378051,-3.435973,GBP,0.77
1/22/20,United Kingdom,55.378051,-3.435973,GBP,0.76
1/23/20,United Kingdom,55.378051,-3.435973,GBP,0.76
1/24/20,United Kingdom,55.378051,-3.435973,GBP,0.76
1/25/20,United Kingdom,55.378051,-3.435973,GBP,0.76
1/26/20,United Kingdom,55.378051,-3.435973,GBP,0.77
1/27/20,United Kingdom,55.378051,-3.435973,GBP,0.77
1/28/20,United Kingdom,55.378051,-3.435973,GBP,0.77
1/29/20,United Kingdom,55.378051,-3.435973,GBP,0.77
1/30/20,United Kingdom,55.378051,-3.435973,GBP,0.76
1/31/20,United Kingdom,55.378051,-3.435973,GBP,0.76
2/1/20,United Kingdom,55.378051,-3.435973,GBP,0.76
2/2/20,United Kingdom,55.378051,-3.435973,GBP,0.76
2/3/20,United Kingdom,55.378051,-3.435973,GBP,0.77
2/4/20,United Kingdom,55.378051,-3.435973,GBP,0.77
2/5/20,United Kingdom,55.378051,-3.435973,GBP,0.77
2/6/20,United Kingdom,55.378051,-3.435973,GBP,0.77
2/7/20,United Kingdom,55.378051,-3.435973,GBP,0.78
2/8/20,United Kingdom,55.378051,-3.435973,GBP,0.78
2/9/20,United Kingdom,55.378051,-3.435973,GBP,0.78
2/10/20,United Kingdom,55.378051,-3.435973,GBP,0.77
2/11/20,United Kingdom,55.378051,-3.435973,GBP,0.77
2/12/20,United Kingdom,55.378051,-3.435973,GBP,0.77
2/13/20,United Kingdom,55.378051,-3.435973,GBP,0.77
2/14/20,United Kingdom,55.378051,-3.435973,GBP,0.77
2/15/20,United Kingdom,55.378051,-3.435973,GBP,0.77
2/16/20,United Kingdom,55.378051,-3.435973,GBP,0.77
2/17/20,United Kingdom,55.378051,-3.435973,GBP,0.77
2/18/20,United Kingdom,55.378051,-3.435973,GBP,0.77
2/19/20,United Kingdom,55.378051,-3.435973,GBP,0.77
2/20/20,United Kingdom,55.378051,-3.435973,GBP,0.78
2/21/20,United Kingdom,55.378051,-3.435973,GBP,0.77
2/22/20,United Kingdom,55.378051,-3.435973,GBP,0.77
2/23/20,United Kingdom,55.378051,-3.435973,GBP,0.77
2/24/20,United Kingdom,55.378051,-3.435973,GBP,0.77
2/25/20,United Kingdom,55.378051,-3.435973,GBP,0.77
2/26/20,United Kingdom,55.378051,-3.435973,GBP,0.77
2/27/20,United Kingdom,55.378051,-3.435973,GBP,0.78
2/28/20,United Kingdom,55.378051,-3.435973,GBP,0.78
2/29/20,United Kingdom,55.378051,-3.435973,GBP,0.78
3/1/20,United Kingdom,55.378051,-3.435973,GBP,0.78
3/2/20,United Kingdom,55.378051,-3.435973,GBP,0.78
3/3/20,United Kingdom,55.378051,-3.435973,GBP,0.78
3/4/20,United Kingdom,55.378051,-3.435973,GBP,0.78
3/5/20,United Kingdom,55.378051,-3.435973,GBP,0.77
3/6/20,United Kingdom,55.378051,-3.435973,GBP,0.77
3/7/20,United Kingdom,55.378051,-3.435973,GBP,0.77
3/8/20,United Kingdom,55.378051,-3.435973,GBP,0.76
3/9/20,United Kingdom,55.378051,-3.435973,GBP,0.76
3/10/20,United Kingdom,55.378051,-3.435973,GBP,0.77
3/11/20,United Kingdom,55.378051,-3.435973,GBP,0.78
3/12/20,United Kingdom,55.378051,-3.435973,GBP,0.80
3/13/20,United Kingdom,55.378051,-3.435973,GBP,0.82
3/14/20,United Kingdom,55.378051,-3.435973,GBP,0.81
3/15/20,United Kingdom,55.378051,-3.435973,GBP,0.81
3/16/20,United Kingdom,55.378051,-3.435973,GBP,0.82
3/17/20,United Kingdom,55.378051,-3.435973,GBP,0.83
3/18/20,United Kingdom,55.378051,-3.435973,GBP,0.86
3/19/20,United Kingdom,55.378051,-3.435973,GBP,0.87
3/20/20,United Kingdom,55.378051,-3.435973,GBP,0.86
3/21/20,United Kingdom,55.378051,-3.435973,GBP,0.86
3/22/20,United Kingdom,55.378051,-3.435973,GBP,0.86
3/23/20,United Kingdom,55.378051,-3.435973,GBP,0.86
3/24/20,United Kingdom,55.378051,-3.435973,GBP,0.85
3/25/20,United Kingdom,55.378051,-3.435973,GBP,0.84
3/26/20,United Kingdom,55.378051,-3.435973,GBP,0.82
3/27/20,United Kingdom,55.378051,-3.435973,GBP,0.80
3/28/20,United Kingdom,55.378051,-3.435973,GBP,0.80
3/29/20,United Kingdom,55.378051,-3.435973,GBP,0.80
3/30/20,United Kingdom,55.378051,-3.435973,GBP,0.81
3/31/20,United Kingdom,55.378051,-3.435973,GBP,0.81
4/1/20,United Kingdom,55.378051,-3.435973,GBP,0.81
4/2/20,United Kingdom,55.378051,-3.435973,GBP,0.81
4/3/20,United Kingdom,55.378051,-3.435973,GBP,0.81
4/4/20,United Kingdom,55.378051,-3.435973,GBP,0.81
4/5/20,United Kingdom,55.378051,-3.435973,GBP,0.82
4/6/20,United Kingdom,55.378051,-3.435973,GBP,0.82
4/7/20,United Kingdom,55.378051,-3.435973,GBP,0.81
4/8/20,United Kingdom,55.378051,-3.435973,GBP,0.81
4/9/20,United Kingdom,55.378051,-3.435973,GBP,0.80
4/10/20,United Kingdom,55.378051,-3.435973,GBP,0.80
